KASHIF|2026-08-31|ITEM|pid=165|Deal 1 (Serve 1)|qty=33.00|net=13675.00
KASHIF|2026-08-31|ITEM|pid=101|Chicken Alfredo Pasta (1 Person)|qty=10.00|net=12500.00
KASHIF|2026-08-31|ITEM|pid=87|Chicken Chow Mein + Drink (Midnight)|qty=10.00|net=12000.00
KASHIF|2026-08-31|ITEM|pid=109|Chicken Tikka (Chest)|qty=17.00|net=11050.00
KASHIF|2026-08-31|ITEM|pid=162|Singaporean Rice Family Pack (Small)|qty=4.00|net=11000.00
KASHIF|2026-08-31|ITEM|pid=31|Deal 9 (Serve 2)|qty=12.00|net=10555.00
KASHIF|2026-08-31|ITEM|pid=166|Chicken Biryani (Large)|qty=12.00|net=9000.00
KASHIF|2026-08-31|ITEM|pid=49|Club Sandwich (With Fries)|qty=8.00|net=7200.00
KASHIF|2026-08-31|ITEM|pid=30|Chicken Zinger Burger + Fries + Drink (Midnight)|qty=9.00|net=6450.00
KASHIF|2026-08-31|ITEM|pid=196|Grill Chicken Al-Faham (Half)|qty=4.00|net=6400.00
KASHIF|2026-08-31|ITEM|pid=97|Spicy Mexican Steak (Chicken)|qty=3.00|net=6150.00
KASHIF|2026-08-31|ITEM|pid=113|Chicken Malai Boti + Drink (Midnight)|qty=5.00|net=5750.00
KASHIF|2026-08-31|ITEM|pid=69|Manchurian With Fried Rice (1 Person)|qty=4.00|net=5400.00
KASHIF|2026-08-31|ITEM|pid=71|Shashlik With Fried Rice (1 Person)|qty=4.00|net=5400.00
KASHIF|2026-08-31|ITEM|pid=117|Chicken Baluchi Boti|qty=4.00|net=5000.00
KASHIF|2026-08-31|ITEM|pid=115|Chicken Reshmi Kebab|qty=4.00|net=4600.00
KASHIF|2026-08-31|ITEM|pid=143|Chicken Chatni Roll|qty=12.00|net=4440.00
KASHIF|2026-08-31|ITEM|pid=132|Parhata Large|qty=22.00|net=3300.00
KASHIF|2026-08-31|ITEM|pid=194|Classic Platter 3 (3 Persons)|qty=1.00|net=3300.00
KASHIF|2026-08-31|ITEM|pid=207|Grill Chicken Al-Faham (Full)|qty=1.00|net=3100.00
KASHIF|2026-08-31|ITEM|pid=35|Chicken Burger (With Fries)|qty=4.00|net=3000.00
KASHIF|2026-08-31|ITEM|pid=2|Dynamite Chicken|qty=3.00|net=2970.00
KASHIF|2026-08-31|ITEM|pid=170|Mineral Water (Small)|qty=35.00|net=2800.00
KASHIF|2026-08-31|ITEM|pid=12|2 Pcs Crispy Fried Chicken|qty=4.00|net=2600.00
KASHIF|2026-08-31|ITEM|pid=134|Beef Boti Chatni Roll|qty=7.00|net=2590.00
KASHIF|2026-08-31|ITEM|pid=120|Beef Dhaga Kebab|qty=2.00|net=2500.00
KASHIF|2026-08-31|ITEM|pid=110|Chicken Tikka (Leg)|qty=4.00|net=2400.00
KASHIF|2026-08-31|ITEM|pid=64|Supreme Pizza Fries (Small)|qty=3.00|net=2400.00
KASHIF|2026-08-31|ITEM|pid=149|Chicken Malai Chatni Roll|qty=6.00|net=2340.00
KASHIF|2026-08-31|ITEM|pid=168|Chicken Biryani Family Pack 6 Pcs|qty=1.00|net=2270.00
KASHIF|2026-08-31|ITEM|pid=54|Fries (Regular)|qty=6.00|net=2100.00
KASHIF|2026-08-31|ITEM|pid=144|Chicken Garlic Mayo Roll|qty=5.00|net=2000.00
KASHIF|2026-08-31|ITEM|pid=53|Chicken Malai Boti Sandwich (With Fries)|qty=2.00|net=1900.00
KASHIF|2026-08-31|ITEM|pid=43|Grilled Mushroom (Chicken)|qty=2.00|net=1800.00
KASHIF|2026-08-31|ITEM|pid=171|Mineral Water (Large)|qty=11.00|net=1760.00
KASHIF|2026-08-31|ITEM|pid=50|Chicken Bar-B-Que Sandwich|qty=2.00|net=1750.00
KASHIF|2026-08-31|ITEM|pid=181|Raita|qty=17.00|net=1700.00
KASHIF|2026-08-31|ITEM|pid=62|Tikka Pizza Fries (Small)|qty=2.00|net=1600.00
KASHIF|2026-08-31|ITEM|pid=13|2 Pcs Crispy Fried Chicken (With Fries)|qty=2.00|net=1600.00
KASHIF|2026-08-31|ITEM|pid=6|Fish And Chips 5 Pcs|qty=1.00|net=1490.00
KASHIF|2026-08-31|ITEM|pid=130|Morocon Kebab|qty=1.00|net=1450.00
KASHIF|2026-08-31|ITEM|pid=121|Beef Dhaga Kebab (Fry)|qty=1.00|net=1350.00
KASHIF|2026-08-31|ITEM|pid=77|Kung Pao Chicken With Fried Rice (1 Person)|qty=1.00|net=1350.00
KASHIF|2026-08-31|ITEM|pid=164|Chicken Biryani (Sadi)|qty=5.00|net=1250.00
KASHIF|2026-08-31|ITEM|pid=119|Beef Seekh Kebab|qty=1.00|net=1250.00
KASHIF|2026-08-31|ITEM|pid=118|Beef Behari Boti|qty=1.00|net=1250.00
KASHIF|2026-08-31|ITEM|pid=103|Chicken Mac n Cheese Pasta (1 Person)|qty=1.00|net=1250.00
KASHIF|2026-08-31|ITEM|pid=107|Chicken Parmesan Cheese Pasta (1 Person)|qty=1.00|net=1250.00
KASHIF|2026-08-31|ITEM|pid=128|Tandoori Chicken|qty=1.00|net=1250.00
KASHIF|2026-08-31|ITEM|pid=105|Chicken Red Sauce Pasta (1 Person)|qty=1.00|net=1250.00
KASHIF|2026-08-31|ITEM|pid=116|Chicken Shahi Chattakh + Drink (Midnight)|qty=1.00|net=1250.00
KASHIF|2026-08-31|ITEM|pid=136|Beef Boti Mayo Cheese Roll|qty=3.00|net=1230.00
KASHIF|2026-08-31|ITEM|pid=201|Cream Cocktail Cup|qty=6.00|net=1200.00
KASHIF|2026-08-31|ITEM|pid=85|Chicken Fried Rice (1 Person)|qty=1.00|net=1200.00
KASHIF|2026-08-31|ITEM|pid=202|Cream Cocktail Half Pack|qty=2.00|net=1200.00
KASHIF|2026-08-31|ITEM|pid=200|Soft Drink Sting (345 ml)|qty=9.00|net=1170.00
KASHIF|2026-08-31|ITEM|pid=172|Cold Drink (Can)|qty=7.00|net=1120.00
KASHIF|2026-08-31|ITEM|pid=155|Ustad Special Roll|qty=2.00|net=1100.00
KASHIF|2026-08-31|ITEM|pid=183|Singaporean Sauce|qty=11.00|net=1100.00
KASHIF|2026-08-31|ITEM|pid=15|3 Pcs Crispy Fried Chicken (With Fries)|qty=1.00|net=1050.00
KASHIF|2026-08-31|ITEM|pid=38|American Vintage (Beef)|qty=1.00|net=1050.00
KASHIF|2026-08-31|ITEM|pid=39|Mushroom Melt (Beef)|qty=1.00|net=1050.00
KASHIF|2026-08-31|ITEM|pid=174|Soft Drink (300 ml)|qty=10.00|net=1000.00
KASHIF|2026-08-31|ITEM|pid=4|Supreme Nachos|qty=1.00|net=990.00
KASHIF|2026-08-31|ITEM|pid=51|Chicken Bar-B-Que Sandwich (With Fries)|qty=1.00|net=950.00
KASHIF|2026-08-31|ITEM|pid=42|Smoke House (Chicken)|qty=1.00|net=900.00
KASHIF|2026-08-31|ITEM|pid=28|Chicken Crunch Burger + Crispy Fried Chicken (Drum Stick) + Fries|qty=1.00|net=900.00
KASHIF|2026-08-31|ITEM|pid=133|Pori Paratha|qty=11.00|net=880.00
KASHIF|2026-08-31|ITEM|pid=23|Nuggets 6 Pcs (With Fries)|qty=1.00|net=850.00
KASHIF|2026-08-31|ITEM|pid=47|Chicken Sandwich (With Fries)|qty=1.00|net=850.00
KASHIF|2026-08-31|ITEM|pid=52|Chicken Malai Boti Sandwich|qty=1.00|net=800.00
